,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
5150,LKA,2010,13.7968450364
5151,LKA,2011,13.793149893199999
5152,LKA,2012,13.784676633699998
5153,LKA,2013,13.7764015643
5154,LKA,2014,13.769647363099999
5155,LKA,2015,13.773303931400001
5156,LKA,2016,13.7657976794
5157,,1990,15.9193095079
5158,,1991,15.920392835
5159,,1992,15.9247784339
5160,,1993,15.929624474
5161,,1994,15.9336159828
5162,,1995,15.945871190899998
5163,,1996,15.947408619600001
5164,,1997,15.952373312899999
5165,,1998,15.960889029
5166,,1999,15.9665836295
5167,,2000,15.979868559200002
5168,,2001,15.9628813462
5169,,2002,15.9532343227
5170,,2003,15.938422631900004
5171,,2004,15.9287584611
5172,,2005,15.917713699300004
5173,,2006,15.898833939400001
5174,,2007,15.87734478
5175,,2008,15.8586328845
5176,,2009,15.8430209255
5177,,2010,15.826881188
5178,,2011,15.8007818323
5179,,2012,15.7776589356
5180,,2013,15.754332721199999
5181,,2014,15.731919427000001
5182,,2015,15.7089905083
5183,,2016,15.6930828029
5184,SDN,1990,16.9670764582
5185,SDN,1991,16.9735200328
5186,SDN,1992,16.9905795343
5187,SDN,1993,17.0195869477
5188,SDN,1994,17.0244967579
5189,SDN,1995,17.048485538999998
5190,SDN,1996,17.0571906335
5191,SDN,1997,17.070507443900002
5192,SDN,1998,17.079149706400003
5193,SDN,1999,17.0771446903
5194,SDN,2000,17.0950522732
5195,SDN,2001,17.0440877075
5196,SDN,2002,17.0125373967
5197,SDN,2003,16.9731138193
5198,SDN,2004,16.944028408
5199,SDN,2005,16.9112444933
5200,SDN,2006,16.888437747999998
5201,SDN,2007,16.8603724241
5202,SDN,2008,16.8229799234
5203,SDN,2009,16.8155682885
5204,SDN,2010,16.796660538300006
5205,SDN,2011,16.7789842241
5206,SDN,2012,16.7728306661
5207,SDN,2013,16.772296706
5208,SDN,2014,16.7693911285
5209,SDN,2015,16.7498432284
5210,SDN,2016,16.7425968859
5211,SUR,1990,16.5370943773
5212,SUR,1991,16.5544084057
5213,SUR,1992,16.587403866400003
5214,SUR,1993,16.6039679758
5215,SUR,1994,16.6275998518
5216,SUR,1995,16.6580832747
5217,SUR,1996,16.6748494179
5218,SUR,1997,16.6970339272
5219,SUR,1998,16.7101676166
5220,SUR,1999,16.7426444968
5221,SUR,2000,16.7632282454
5222,SUR,2001,16.7615929366
5223,SUR,2002,16.7643698087
5224,SUR,2003,16.766493210100002
5225,SUR,2004,16.7767726931
5226,SUR,2005,16.772402804200002
5227,SUR,2006,16.7882486084
5228,SUR,2007,16.8019281178
5229,SUR,2008,16.8157976119
5230,SUR,2009,16.8346138056
5231,SUR,2010,16.8493449122
5232,SUR,2011,16.849299834300002
5233,SUR,2012,16.8447128249
5234,SUR,2013,16.856096523599998
5235,SUR,2014,16.8560924135
5236,SUR,2015,16.852523527
5237,SUR,2016,16.8604629941
5238,SWZ,1990,15.953557313800001
5239,SWZ,1991,15.9733454372
5240,SWZ,1992,15.9811938787
5241,SWZ,1993,16.0064327127
5242,SWZ,1994,16.0257051341
5243,SWZ,1995,16.053306453199998
5244,SWZ,1996,16.037532686
5245,SWZ,1997,16.030951713300002
5246,SWZ,1998,16.019775844799998
5247,SWZ,1999,16.018134804699994
5248,SWZ,2000,16.0144571135
5249,SWZ,2001,16.011915177200002
5250,SWZ,2002,16.014154255799998
5251,SWZ,2003,16.0291104302
5252,SWZ,2004,16.018265802200002
5253,SWZ,2005,16.0413131142
5254,SWZ,2006,16.0344980354
5255,SWZ,2007,16.022704037300002
5256,SWZ,2008,16.0199829841
5257,SWZ,2009,16.0132786284
5258,SWZ,2010,16.0120975981
5259,SWZ,2011,16.0133975085
5260,SWZ,2012,16.023900784200002
5261,SWZ,2013,16.030858937
5262,SWZ,2014,16.0441832628
5263,SWZ,2015,16.0445412437
5264,SWZ,2016,16.0549856875
5265,SWE,1990,18.6115380246
5266,SWE,1991,18.6276762194
5267,SWE,1992,18.6485425718
