,Code,Year,Work hours per persons engaged (hours per person engaged)
2521,SVN,1994,1655.093552130416
2522,SVN,1995,1645.1742641877606
2523,SVN,1996,1618.6922813187787
2524,SVN,1997,1604.285328046143
2525,SVN,1998,1615.1555134537743
2526,SVN,1999,1615.6985784095957
2527,SVN,2000,1604.883970166882
2528,SVN,2001,1591.4346918359356
2529,SVN,2002,1614.1080126318045
2530,SVN,2003,1616.3783569027908
2531,SVN,2004,1626.864808727958
2532,SVN,2005,1590.172029822806
2533,SVN,2006,1562.458957358019
2534,SVN,2007,1550.777823324452
2535,SVN,2008,1566.202713774705
2536,SVN,2009,1569.2328822871093
2537,SVN,2010,1579.9835700767426
2538,SVN,2011,1556.7878397091001
2539,SVN,2012,1536.5828181624383
2540,SVN,2013,1549.507210628239
2541,SVN,2014,1560.6450087584494
2542,ZAF,2003,2316.6845431282704
2543,ZAF,2004,2340.140988012723
2544,ZAF,2005,2397.252513844418
2545,ZAF,2006,2313.638717404722
2546,ZAF,2007,2323.207896104949
2547,ZAF,2008,2290.4889563641705
2548,ZAF,2009,2255.459600636084
2549,ZAF,2010,2241.8819159517598
2550,ZAF,2011,2260.787541882425
2551,ZAF,2012,2230.199702896757
2552,ZAF,2013,2218.0075820184124
2553,ZAF,2014,2215.203872781121
2554,KOR,1953,2486.655295202515
2555,KOR,1954,2522.835254746974
2556,KOR,1955,2559.541619971852
2557,KOR,1956,2596.7820498945684
2558,KOR,1957,2634.564314968551
2559,KOR,1958,2672.896298704589
2560,KOR,1959,2711.785999315784
2561,KOR,1960,2751.241531386418
2562,KOR,1961,2791.271127565124
2563,KOR,1962,2831.8831402826722
2564,KOR,1963,2873.086043494761
2565,KOR,1964,2782.357010542294
2566,KOR,1965,2903.329054478916
2567,KOR,1966,2885.183247888423
2568,KOR,1967,2921.474861069409
2569,KOR,1968,2975.9122808408893
2570,KOR,1969,3042.446905006031
2571,KOR,1970,2921.474861069409
2572,KOR,1971,2915.630007720727
2573,KOR,1972,2909.7691575103304
2574,KOR,1973,2903.9802931776458
2575,KOR,1974,2898.1764317871052
2576,KOR,1975,2892.3745700042778
2577,KOR,1976,2886.5537119481664
2578,KOR,1977,2880.8268354546226
2579,KOR,1978,2875.039970729653
2580,KOR,1979,2869.360085017393
2581,KOR,1980,2863.4382467717132
2582,KOR,1981,2879.435108485521
2583,KOR,1982,2892.4325586279906
2584,KOR,1983,2910.429028056026
2585,KOR,1984,2906.429812627573
2586,KOR,1985,2881.4347161997475
2587,KOR,1986,2910.429028056025
2588,KOR,1987,2879.435108485521
2589,KOR,1988,2833.444131058322
2590,KOR,1989,2730.4643337756797
2591,KOR,1990,2676.4749254915764
2592,KOR,1991,2660.478063777768
2593,KOR,1992,2638.482378921281
2594,KOR,1993,2655.4790444922023
2595,KOR,1994,2639.482182778394
2596,KOR,1995,2647.4806136352977
2597,KOR,1996,2636.4827712070546
2598,KOR,1997,2581.493559065838
2599,KOR,1998,2487.5119964972137
2600,KOR,1999,2494.510623497005
2601,KOR,2000,2511.507289067926
2602,KOR,2001,2498.5098389254567
2603,KOR,2002,2463.5167039265007
2604,KOR,2003,2423.5245496419793
2605,KOR,2004,2391.5308262143626
2606,KOR,2005,2351.3182418774772
2607,KOR,2006,2345.915943155803
2608,KOR,2007,2306.2003098234522
2609,KOR,2008,2245.544462069609
2610,KOR,2009,2232.047818595648
2611,KOR,2010,2186.651503006853
2612,KOR,2011,2089.509699187025
2613,KOR,2012,2162.645964846884
2614,KOR,2013,2079.2169660025693
2615,KOR,2014,2123.995093635008
2616,ESP,1950,1973.557266734208
2617,ESP,1951,1971.585594426501
2618,ESP,1952,1969.615891907944
2619,ESP,1953,1967.6481572106275
2620,ESP,1954,1965.6823883686106
2621,ESP,1955,1963.7185834179159
2622,ESP,1956,1961.7567403965268
2623,ESP,1957,1959.7968573443886
2624,ESP,1958,1957.838932303404
2625,ESP,1959,1955.8829633174319
2626,ESP,1960,1953.9289484322846
2627,ESP,1961,1960.2143514818838
2628,ESP,1962,1966.5199734301943
2629,ESP,1963,1972.8458793174138
2630,ESP,1964,1979.192134392964
2631,ESP,1965,1985.5588041161584
2632,ESP,1966,1991.9459541568826
2633,ESP,1967,1998.3536503962673
2634,ESP,1968,2004.7819589273722
2635,ESP,1969,2011.2309460558624
2636,ESP,1970,2017.7006783006962
2637,ESP,1971,2013.5866789566267
2638,ESP,1972,2009.1196796688384
2639,ESP,1973,2013.0536790416074
2640,ESP,1974,2007.468679932072
2641,ESP,1975,2002.6776806959415
