,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%)
376,AZE,2015,2.8483352713200003
377,AZE,2016,2.85444601108
378,BHS,1990,3.24960866233
379,BHS,1991,3.23877409543
380,BHS,1992,3.22361314273
381,BHS,1993,3.21923348176
382,BHS,1994,3.21305477831
383,BHS,1995,3.20391484093
384,BHS,1996,3.20281918435
385,BHS,1997,3.20484555418
386,BHS,1998,3.1987290318799997
387,BHS,1999,3.20072299526
388,BHS,2000,3.2053397894800004
389,BHS,2001,3.20357712882
390,BHS,2002,3.1991911671099995
391,BHS,2003,3.1945110022900005
392,BHS,2004,3.1915053692299997
393,BHS,2005,3.19369194548
394,BHS,2006,3.1848676606
395,BHS,2007,3.1710144859400002
396,BHS,2008,3.1642830240600004
397,BHS,2009,3.1500603218200003
398,BHS,2010,3.14619788197
399,BHS,2011,3.14738552462
400,BHS,2012,3.1494123953
401,BHS,2013,3.15618028582
402,BHS,2014,3.16016716239
403,BHS,2015,3.16421108282
404,BHS,2016,3.16907406962
405,BHR,1990,4.5318983929300005
406,BHR,1991,4.54176123368
407,BHR,1992,4.55247062868
408,BHR,1993,4.567104347190001
409,BHR,1994,4.58465402883
410,BHR,1995,4.601121376519999
411,BHR,1996,4.60366154817
412,BHR,1997,4.60824630977
413,BHR,1998,4.606432992049999
414,BHR,1999,4.61076333756
415,BHR,2000,4.6099871505
416,BHR,2001,4.58021200309
417,BHR,2002,4.54824263193
418,BHR,2003,4.517654584080001
419,BHR,2004,4.49247318677
420,BHR,2005,4.4600297988
421,BHR,2006,4.414020215969999
422,BHR,2007,4.36935474959
423,BHR,2008,4.32644581532
424,BHR,2009,4.27897709451
425,BHR,2010,4.2446114994499995
426,BHR,2011,4.222755740209999
427,BHR,2012,4.2073888156
428,BHR,2013,4.19596621123
429,BHR,2014,4.17834637649
430,BHR,2015,4.16883953916
431,BHR,2016,4.159016170869999
432,BGD,1990,4.55337069856
433,BGD,1991,4.538460510309999
434,BGD,1992,4.52848210411
435,BGD,1993,4.51422136261
436,BGD,1994,4.50807531404
437,BGD,1995,4.4937752816800005
438,BGD,1996,4.52644769981
439,BGD,1997,4.55658570767
440,BGD,1998,4.58380281487
441,BGD,1999,4.62044712294
442,BGD,2000,4.65873425566
443,BGD,2001,4.64920841597
444,BGD,2002,4.64109479405
445,BGD,2003,4.63797239051
446,BGD,2004,4.62607782135
447,BGD,2005,4.62461099201
448,BGD,2006,4.62738973823
449,BGD,2007,4.627322528230001
450,BGD,2008,4.62654148346
451,BGD,2009,4.62548356817
452,BGD,2010,4.631714758219999
453,BGD,2011,4.59144156052
454,BGD,2012,4.567686232280001
455,BGD,2013,4.534365688079999
456,BGD,2014,4.50173878466
457,BGD,2015,4.47140884466
458,BGD,2016,4.43959455227
459,BRB,1990,3.3280219091400003
460,BRB,1991,3.3150320412900003
461,BRB,1992,3.3081717029
462,BRB,1993,3.29184137353
463,BRB,1994,3.2841987710000002
464,BRB,1995,3.27623900712
465,BRB,1996,3.27790739329
466,BRB,1997,3.27752487866
467,BRB,1998,3.27454385507
468,BRB,1999,3.2704321664999996
469,BRB,2000,3.27353154941
470,BRB,2001,3.2706093575099997
471,BRB,2002,3.28069137219
472,BRB,2003,3.27951934408
473,BRB,2004,3.2831509162
474,BRB,2005,3.28848392155
475,BRB,2006,3.2879045748699998
476,BRB,2007,3.2893255631000002
477,BRB,2008,3.28711470468
478,BRB,2009,3.2871752081000003
479,BRB,2010,3.28953504334
480,BRB,2011,3.2912771316400002
481,BRB,2012,3.3004314523000002
482,BRB,2013,3.30555036945
483,BRB,2014,3.30872141225
484,BRB,2015,3.31695262446
485,BRB,2016,3.32426398061
486,BLR,1990,4.3871143447000005
487,BLR,1991,4.3997506137
488,BLR,1992,4.426356703180001
489,BLR,1993,4.4434634833999995
490,BLR,1994,4.47070864131
491,BLR,1995,4.49096138191
492,BLR,1996,4.5021477358199995
493,BLR,1997,4.52004237395
494,BLR,1998,4.53146906348
495,BLR,1999,4.546814545169999
496,BLR,2000,4.56053294832
497,BLR,2001,4.55365178289
498,BLR,2002,4.560178891610001
499,BLR,2003,4.5562293161900005
500,BLR,2004,4.55926572736
501,BLR,2005,4.55899819677
502,BLR,2006,4.5392198409199995
503,BLR,2007,4.51969781001
504,BLR,2008,4.50349464865
505,BLR,2009,4.48069501149
506,BLR,2010,4.46157175931
507,BLR,2011,4.45124735418
508,BLR,2012,4.43675624385
509,BLR,2013,4.42947673789
510,BLR,2014,4.419337486540001
511,BLR,2015,4.406787012160001
512,BLR,2016,4.3964169915200015
513,BEL,1990,3.96169484102
514,BEL,1991,3.95594564698
515,BEL,1992,3.9499612404
516,BEL,1993,3.95453406382
517,BEL,1994,3.95289271243
518,BEL,1995,3.9477853208
519,BEL,1996,3.9771725479000004
520,BEL,1997,4.0045170645
521,BEL,1998,4.031278110540001
522,BEL,1999,4.06206131109
523,BEL,2000,4.088037825480001
524,BEL,2001,4.1231832976
525,BEL,2002,4.1653906133800005
526,BEL,2003,4.2087331178900005
527,BEL,2004,4.2523896819
528,BEL,2005,4.293533448490001
529,BEL,2006,4.32858433976
530,BEL,2007,4.35941100339
531,BEL,2008,4.4004609748900005
532,BEL,2009,4.43247265224
533,BEL,2010,4.466666536519999
534,BEL,2011,4.46426005094
535,BEL,2012,4.4674316918
536,BEL,2013,4.46420936861
537,BEL,2014,4.473028590309999
538,BEL,2015,4.46785441864
539,BEL,2016,4.469739500589999
540,BLZ,1990,3.2794107232300003
541,BLZ,1991,3.2877559761299997
542,BLZ,1992,3.2886029050400003
543,BLZ,1993,3.29804866702
544,BLZ,1994,3.3066223478100003
545,BLZ,1995,3.31607308463
546,BLZ,1996,3.3261743961400003
547,BLZ,1997,3.3393582486000004
548,BLZ,1998,3.35120751977
549,BLZ,1999,3.36844166499
550,BLZ,2000,3.38478199549
551,BLZ,2001,3.38828183065
552,BLZ,2002,3.3985694477500004
553,BLZ,2003,3.4059379403800003
554,BLZ,2004,3.41099037804
555,BLZ,2005,3.41939939523
556,BLZ,2006,3.4144001223700005
557,BLZ,2007,3.4099662578900003
558,BLZ,2008,3.40236411764
559,BLZ,2009,3.39646022093
560,BLZ,2010,3.3917813695100003
561,BLZ,2011,3.3902606655
562,BLZ,2012,3.39708471178
563,BLZ,2013,3.394441402
564,BLZ,2014,3.39670760422
565,BLZ,2015,3.3998613227499996
566,BLZ,2016,3.3981747568
567,BEN,1990,4.10569376048
568,BEN,1991,4.10463807242
569,BEN,1992,4.1068017053100005
570,BEN,1993,4.101492702830001
571,BEN,1994,4.10271151184
572,BEN,1995,4.108261348869999
573,BEN,1996,4.1119286421900005
574,BEN,1997,4.1212430613699995
575,BEN,1998,4.1332620147500005
576,BEN,1999,4.13762890892
577,BEN,2000,4.14926403546
578,BEN,2001,4.15105334321
579,BEN,2002,4.1463412039800005
580,BEN,2003,4.14945002087
581,BEN,2004,4.150250074090001
582,BEN,2005,4.15302893369
583,BEN,2006,4.158187259069999
584,BEN,2007,4.15816792673
585,BEN,2008,4.1588928137900005
586,BEN,2009,4.16597058131
587,BEN,2010,4.16700651619
588,BEN,2011,4.1602591874699995
589,BEN,2012,4.16845988825
590,BEN,2013,4.15925091776
591,BEN,2014,4.16300180934
592,BEN,2015,4.16547714307
593,BEN,2016,4.16398222035
594,BMU,1990,3.71049979661
595,BMU,1991,3.7040718929300005
596,BMU,1992,3.6904734328800006
597,BMU,1993,3.6854611478099994
598,BMU,1994,3.6754480463099997
599,BMU,1995,3.6690532990400007
600,BMU,1996,3.64753867987
601,BMU,1997,3.63388513649
602,BMU,1998,3.6128839649800004
603,BMU,1999,3.59696930801
604,BMU,2000,3.5821108551100003
605,BMU,2001,3.5651900592000003
606,BMU,2002,3.5454711591900003
607,BMU,2003,3.53181629049
608,BMU,2004,3.5173750664
609,BMU,2005,3.50122411924
610,BMU,2006,3.4841254275300004
611,BMU,2007,3.46672569716
612,BMU,2008,3.4440757103300004
613,BMU,2009,3.4268362387799995
614,BMU,2010,3.4112938222099998
615,BMU,2011,3.40633998242
616,BMU,2012,3.3952013045100005
617,BMU,2013,3.3932223342400003
618,BMU,2014,3.3899853548400003
619,BMU,2015,3.3842822131
620,BMU,2016,3.3789010165499995
621,BTN,1990,3.90285394638
622,BTN,1991,3.8905271922500004
623,BTN,1992,3.87465612542
624,BTN,1993,3.8701167179000002
625,BTN,1994,3.86271795974
626,BTN,1995,3.85226892648
627,BTN,1996,3.8412444048500003
628,BTN,1997,3.8364175011699997
629,BTN,1998,3.83101562436
630,BTN,1999,3.8270736065900004
631,BTN,2000,3.82221494254
632,BTN,2001,3.81473150306
633,BTN,2002,3.7954874343699996
634,BTN,2003,3.7881750772
635,BTN,2004,3.7790520550699997
636,BTN,2005,3.76327772762
637,BTN,2006,3.74984916677
638,BTN,2007,3.73217439488
639,BTN,2008,3.71833692261
640,BTN,2009,3.7098727305900003
641,BTN,2010,3.69457864703
642,BTN,2011,3.6948666939
643,BTN,2012,3.7006373848400003
644,BTN,2013,3.7041654327099995
645,BTN,2014,3.71123110118
646,BTN,2015,3.71920252857
647,BTN,2016,3.7206660111699996
648,BOL,1990,3.54556887811
649,BOL,1991,3.5637804739
650,BOL,1992,3.5802084982699998
651,BOL,1993,3.5926843834599995
652,BOL,1994,3.61392341708
653,BOL,1995,3.63285470816
654,BOL,1996,3.62769661896
655,BOL,1997,3.61617867491
656,BOL,1998,3.6139075672300005
657,BOL,1999,3.6116115769699997
658,BOL,2000,3.60904398821
659,BOL,2001,3.59543394314
660,BOL,2002,3.5811348143299995
661,BOL,2003,3.5708337157099996
662,BOL,2004,3.5561906125900005
663,BOL,2005,3.5473590028300004
664,BOL,2006,3.5412224367
665,BOL,2007,3.52950339853
666,BOL,2008,3.52985710119
667,BOL,2009,3.52204248184
668,BOL,2010,3.51807739501
669,BOL,2011,3.5039668971499998
670,BOL,2012,3.4946033515800003
671,BOL,2013,3.4857220409400003
672,BOL,2014,3.4767163646499997
673,BOL,2015,3.4595320752800003
674,BOL,2016,3.4556859929600003
675,BIH,1990,2.94651359074
676,BIH,1991,2.94136468693
677,BIH,1992,2.94212234552
678,BIH,1993,2.93799625658
679,BIH,1994,2.93532907739
680,BIH,1995,2.9356939573100003
681,BIH,1996,2.91652911023
682,BIH,1997,2.89612889903
683,BIH,1998,2.8858292601200004
684,BIH,1999,2.86577790083
685,BIH,2000,2.8502058295599997
686,BIH,2001,2.82322247086
687,BIH,2002,2.8007408252900006
688,BIH,2003,2.77542070518
689,BIH,2004,2.74929703782
690,BIH,2005,2.72825395278
691,BIH,2006,2.70158222247
692,BIH,2007,2.67281256431
693,BIH,2008,2.6500220636900003
694,BIH,2009,2.62258332499
695,BIH,2010,2.59841342977
696,BIH,2011,2.59478737746
697,BIH,2012,2.59026312399
698,BIH,2013,2.58115120154
699,BIH,2014,2.5743428213499997
700,BIH,2015,2.57180102788
701,BIH,2016,2.56463445349
702,BWA,1990,4.2947491574
703,BWA,1991,4.310887920940001
704,BWA,1992,4.33276420479
705,BWA,1993,4.358078422069998
706,BWA,1994,4.3792731067699995
707,BWA,1995,4.4018227133800005
708,BWA,1996,4.41638203831
709,BWA,1997,4.433486816409999
710,BWA,1998,4.45676762981
711,BWA,1999,4.4739858642099986
712,BWA,2000,4.49664288176
713,BWA,2001,4.495371781649999
714,BWA,2002,4.49464246949
715,BWA,2003,4.50178834685
716,BWA,2004,4.5038056180199995
717,BWA,2005,4.504014811449999
718,BWA,2006,4.49619561732
719,BWA,2007,4.48596330187
720,BWA,2008,4.47424630232
721,BWA,2009,4.4709119265699995
722,BWA,2010,4.46230563252
723,BWA,2011,4.4477844914
724,BWA,2012,4.433207509830001
725,BWA,2013,4.43135132622
726,BWA,2014,4.4198266971199995
727,BWA,2015,4.40818478997
728,BWA,2016,4.40220822573
729,BRA,1990,3.98665106978
730,BRA,1991,3.98511455793
731,BRA,1992,3.98746412055
732,BRA,1993,3.9904314447099996
733,BRA,1994,3.99305684856
734,BRA,1995,3.99653383895
735,BRA,1996,4.10726732365
736,BRA,1997,4.2251343283699985
737,BRA,1998,4.349215275580001
738,BRA,1999,4.47831271309
739,BRA,2000,4.6190140169800005
740,BRA,2001,4.61442681796
741,BRA,2002,4.6138107848
742,BRA,2003,4.61423003912
743,BRA,2004,4.615409628859999
744,BRA,2005,4.6197635215
745,BRA,2006,4.47131946276
746,BRA,2007,4.32891123726
747,BRA,2008,4.1966225425
748,BRA,2009,4.0708702746
749,BRA,2010,3.95474226236
750,BRA,2011,3.9092276064
751,BRA,2012,3.86854770147
752,BRA,2013,3.82910881245
753,BRA,2014,3.791421031670001
754,BRA,2015,3.7567474097300004
755,BRA,2016,3.72439262081
756,BRN,1990,2.95845396509
757,BRN,1991,2.94489290989
758,BRN,1992,2.9269609629900004
759,BRN,1993,2.9135134272800003
760,BRN,1994,2.89951342292
761,BRN,1995,2.89045943504
762,BRN,1996,2.89428028894
763,BRN,1997,2.9021978501
764,BRN,1998,2.9132460704400005
765,BRN,1999,2.9230756792299997
766,BRN,2000,2.9251947085400003
767,BRN,2001,2.9256298818
768,BRN,2002,2.9249016168299997
769,BRN,2003,2.92309019051
770,BRN,2004,2.9245215131099997
771,BRN,2005,2.9264199449199997
772,BRN,2006,2.9160180875200004
773,BRN,2007,2.9039309958099997
774,BRN,2008,2.89084926132
775,BRN,2009,2.8800746231299996
776,BRN,2010,2.874151755
777,BRN,2011,2.88440428082
778,BRN,2012,2.89383599749
779,BRN,2013,2.9030183435900003
780,BRN,2014,2.9164372742199998
781,BRN,2015,2.92467015566
782,BRN,2016,2.93469932244
783,BGR,1990,3.04685502186
784,BGR,1991,3.04993735564
785,BGR,1992,3.0526434827099997
786,BGR,1993,3.05426625288
787,BGR,1994,3.06497035847
788,BGR,1995,3.06744790902
789,BGR,1996,3.04994851122
790,BGR,1997,3.03278842996
791,BGR,1998,3.01748793028
792,BGR,1999,3.00227769528
793,BGR,2000,2.98763693381
794,BGR,2001,2.96464808626
795,BGR,2002,2.94285800766
796,BGR,2003,2.9246560599199998
797,BGR,2004,2.8984124516400005
798,BGR,2005,2.8785894287800002
799,BGR,2006,2.8630962469099996
800,BGR,2007,2.8464353956800004
801,BGR,2008,2.8331864136299996
802,BGR,2009,2.8164659927099995
803,BGR,2010,2.8017024153099994
804,BGR,2011,2.79845637343
805,BGR,2012,2.8007543836799997
806,BGR,2013,2.7983596702099995
807,BGR,2014,2.7946265096900005
808,BGR,2015,2.79373779016
809,BGR,2016,2.79441813871
810,BFA,1990,4.2338904712
811,BFA,1991,4.20920725255
812,BFA,1992,4.19647486518
813,BFA,1993,4.17197868553
814,BFA,1994,4.149827062219999
815,BFA,1995,4.13503226938
816,BFA,1996,4.1335815921000005
817,BFA,1997,4.12887532004
818,BFA,1998,4.12570063666
819,BFA,1999,4.12183885919
820,BFA,2000,4.12151091545
821,BFA,2001,4.123999680940001
822,BFA,2002,4.1353496845499995
823,BFA,2003,4.14125764034
824,BFA,2004,4.14794764869
